ours: NUMBER joel hej | random: hej joel NUMBER
0.00 | 0.33
ours: men NUMBER samra | random: men NUMBER samra
0.00 | 0.00
ours: dunkade musiken NUMBER | random: NUMBER dunkade musiken
0.00 | 0.00
ours: aldrig i livet | random: aldrig livet i
1.00 | 0.00
ours: aldrig med vuxna | random: vuxna med aldrig
1.00 | 0.00
ours: aldrig sa pappa | random: aldrig sa pappa
1.00 | 1.00
ours: bell graham alexander | random: graham bell alexander
0.00 | 0.33
ours: hon heter alice | random: alice hon heter
0.00 | 0.00
ours: alla ser det | random: alla ser det
1.00 | 1.00
ours: alla tre dog | random: alla tre dog
1.00 | 1.00
ours: alla utom love | random: love alla utom
1.00 | 0.33
ours: alla utom ludde | random: ludde utom alla
1.00 | 0.00
ours: alla utom pia | random: utom alla pia
1.00 | 0.00
ours: streck raka alldeles | random: raka alldeles streck
0.00 | 0.00
ours: allt blev fel | random: blev allt fel
1.00 | 0.00
ours: allt de kunde | random: de allt kunde
0.00 | 0.33
ours: allt var bra | random: var bra allt
1.00 | 0.33
ours: allt var klart | random: var allt klart
1.00 | 0.00
ours: allt var okej | random: okej allt var
1.00 | 0.33
ours: allt var stilla | random: allt stilla var
1.00 | 0.00
ours: allt var svart | random: svart var allt
1.00 | 0.00
ours: alltihop blev fel | random: alltihop blev fel
1.00 | 1.00
ours: alltsammans sa han | random: sa han alltsammans
1.00 | 0.33
ours: alva och jag | random: alva jag och
1.00 | 0.00
ours: alva och love | random: alva love och
1.00 | 0.00
ours: mamma ropar alva | random: mamma alva ropar
0.00 | 0.33
ours: alva svarar inte | random: alva svarar inte
1.00 | 1.00
ours: ambulanser menar du | random: du ambulanser menar
1.00 | 0.33
ours: andra lite senare | random: lite andra senare
1.00 | 0.00
ours: andra var arga | random: arga var andra
1.00 | 0.00
ours: skjuter vi annars | random: annars skjuter vi
0.33 | 1.00
ours: anne kom efter | random: efter anne kom
1.00 | 0.33
ours: tungt sov anne | random: sov anne tungt
0.00 | 0.00
ours: anne var bra | random: bra var anne
1.00 | 0.00
ours: annelie stark socialdemokrat | random: stark annelie socialdemokrat
1.00 | 0.00
ours: ansikte mot ansikte | random: ansikte ansikte mot
1.00 | 0.33
ours: jag sa antagligen | random: jag sa antagligen
0.00 | 0.00
ours: det hoppades anton | random: anton hoppades det
0.00 | 1.00
ours: anton lille anton | random: anton anton lille
1.00 | 0.33
ours: allvarligt nickade anton | random: anton allvarligt nickade
0.00 | 0.00
ours: bara nickade anton | random: anton nickade bara
0.00 | 1.00
ours: anton och frida | random: och frida anton
1.00 | 0.33
ours: anton reste sig | random: reste anton sig
1.00 | 0.00
ours: tankarna samlade anton | random: samlade anton tankarna
0.00 | 0.00
ours: stiger in anton | random: stiger in anton
0.33 | 0.33
ours: ara var besviken | random: besviken ara var
1.00 | 0.33
ours: utskott kallas arbetsgrupperna | random: kallas utskott arbetsgrupperna
0.00 | 0.33
ours: arbetslivsminister sedan NUMBER | random: sedan NUMBER arbetslivsminister
1.00 | 0.33
ours: arg och besviken | random: besviken och arg
1.00 | 0.00
ours: barcelona mot arsenal | random: barcelona arsenal mot
0.00 | 0.33
ours: mirran sa asch | random: asch mirran sa
0.00 | 0.00
ours: att bli privatdetektiv | random: att privatdetektiv bli
1.00 | 0.00
ours: viftar hundsvansen att | random: viftar att hundsvansen
0.00 | 0.33
ours: just att jonas | random: att jonas just
0.00 | 0.00
ours: ponny ner axlarna | random: axlarna ner ponny
0.00 | 1.00
ours: stol mormors bakom | random: mormors stol bakom
0.00 | 0.33
ours: bara en friades | random: bara friades en
1.00 | 0.00
ours: bara ett nummer | random: bara nummer ett
1.00 | 0.00
ours: barn och ungdomar | random: barn och ungdomar
1.00 | 1.00
ours: be om receptet | random: receptet om be
1.00 | 0.00
ours: tor hon befaller | random: hon befaller tor
0.00 | 0.00
ours: det du begriper | random: du begriper det
0.00 | 0.00
ours: bekymra dej inte | random: bekymra dej inte
1.00 | 1.00
ours: han viskade bell | random: viskade han bell
0.00 | 0.33
ours: bergen var enorma | random: bergen var enorma
1.00 | 1.00
ours: besvikelsen var stor | random: var stor besvikelsen
1.00 | 0.33
ours: snabbt trippar bingo | random: snabbt trippar bingo
0.00 | 0.00
ours: bjerkeli kom trea | random: trea bjerkeli kom
1.00 | 0.33
ours: bjud hem honom | random: honom bjud hem
1.00 | 0.33
ours: bla bla bla | random: bla bla bla
1.00 | 1.00
ours: han blev sur | random: blev han sur
0.00 | 1.00
ours: blinkar och blinkar | random: blinkar och blinkar
1.00 | 1.00
ours: bollen ska tillbaka | random: tillbaka ska bollen
1.00 | 0.00
ours: bort bort bort | random: bort bort bort
1.00 | 1.00
ours: bort med dig | random: bort med dig
1.00 | 1.00
ours: borta vid havsudden | random: borta havsudden vid
1.00 | 0.00
ours: berit sa bra | random: sa bra berit
0.00 | 0.00
ours: farfar sa bra | random: sa farfar bra
0.00 | 0.33
ours: bra sa han | random: sa bra han
1.00 | 0.00
ours: mirran sa bra | random: sa bra mirran
0.00 | 0.00
ours: morfar sa bra | random: sa bra morfar
0.00 | 0.00
ours: bra svarar jag | random: bra jag svarar
1.00 | 0.00
ours: bussen var full | random: full var bussen
1.00 | 0.00
ours: bygglov eller inte | random: inte eller bygglov
1.00 | 0.00
ours: tekla och chuck | random: tekla och chuck
0.00 | 0.00
ours: dagen var varm | random: varm dagen var
1.00 | 0.33
ours: dansar ni aldrig | random: aldrig ni dansar
1.00 | 0.00
ours: barnet adopterar de | random: de adopterar barnet
0.00 | 1.00
ours: de andra flinade | random: andra de flinade
1.00 | 0.00
ours: de andra nickade | random: nickade de andra
1.00 | 0.33
ours: de andra stelnade | random: stelnade de andra
1.00 | 0.33
ours: de firade segern | random: segern de firade
1.00 | 0.33
ours: de gick fram | random: gick fram de
