ours: NUMBER hej joel | random: hej NUMBER joel
1.00 | 0.00
ours: NUMBER men samra | random: men samra NUMBER
1.00 | 0.33
ours: NUMBER musiken dunkade | random: NUMBER musiken dunkade
1.00 | 1.00
ours: aldrig i livet | random: i livet aldrig
1.00 | 0.33
ours: aldrig med vuxna | random: med aldrig vuxna
1.00 | 0.00
ours: aldrig sa pappa | random: aldrig sa pappa
1.00 | 1.00
ours: alexander graham bell | random: alexander bell graham
1.00 | 0.00
ours: alice heter hon | random: hon alice heter
1.00 | 0.33
ours: alla ser det | random: det ser alla
1.00 | 0.00
ours: alla tre dog | random: alla tre dog
1.00 | 1.00
ours: alla utom love | random: love alla utom
1.00 | 0.33
ours: alla utom ludde | random: alla utom ludde
1.00 | 1.00
ours: alla utom pia | random: utom alla pia
1.00 | 0.00
ours: alldeles raka streck | random: alldeles raka streck
1.00 | 1.00
ours: allt blev fel | random: fel blev allt
1.00 | 0.00
ours: allt kunde de | random: allt de kunde
1.00 | 0.00
ours: allt var bra | random: allt var bra
1.00 | 1.00
ours: allt var klart | random: allt klart var
1.00 | 0.00
ours: allt var okej | random: allt var okej
1.00 | 1.00
ours: allt var stilla | random: stilla allt var
1.00 | 0.33
ours: allt var svart | random: svart allt var
1.00 | 0.33
ours: alltihop blev fel | random: blev alltihop fel
1.00 | 0.00
ours: alltsammans sa han | random: han sa alltsammans
1.00 | 0.00
ours: alva och jag | random: och jag alva
1.00 | 0.33
ours: alva och love | random: love och alva
1.00 | 0.00
ours: alva ropar mamma | random: alva ropar mamma
1.00 | 1.00
ours: alva svarar inte | random: inte svarar alva
1.00 | 0.00
ours: ambulanser menar du | random: menar ambulanser du
1.00 | 0.00
ours: andra lite senare | random: senare lite andra
1.00 | 0.00
ours: andra var arga | random: andra arga var
1.00 | 0.00
ours: annars skjuter vi | random: skjuter annars vi
1.00 | 0.00
ours: anne kom efter | random: anne kom efter
1.00 | 1.00
ours: anne sov tungt | random: tungt sov anne
1.00 | 0.00
ours: anne var bra | random: bra var anne
1.00 | 0.00
ours: annelie stark socialdemokrat | random: stark socialdemokrat annelie
1.00 | 0.33
ours: ansikte mot ansikte | random: ansikte ansikte mot
1.00 | 0.33
ours: antagligen sa jag | random: antagligen jag sa
1.00 | 0.00
ours: anton hoppades det | random: hoppades anton det
1.00 | 0.00
ours: anton lille anton | random: anton lille anton
1.00 | 1.00
ours: anton nickade allvarligt | random: nickade anton allvarligt
1.00 | 0.00
ours: anton nickade bara | random: anton bara nickade
1.00 | 0.00
ours: anton och frida | random: frida anton och
1.00 | 0.33
ours: anton reste sig | random: sig anton reste
1.00 | 0.33
ours: anton samlade tankarna | random: anton samlade tankarna
1.00 | 1.00
ours: anton stiger in | random: anton in stiger
1.00 | 0.00
ours: ara var besviken | random: ara besviken var
1.00 | 0.00
ours: arbetsgrupperna kallas utskott | random: kallas arbetsgrupperna utskott
1.00 | 0.00
ours: arbetslivsminister sedan NUMBER | random: NUMBER arbetslivsminister sedan
1.00 | 0.33
ours: arg och besviken | random: besviken arg och
1.00 | 0.33
ours: arsenal mot barcelona | random: arsenal mot barcelona
1.00 | 1.00
ours: asch sa mirran | random: mirran asch sa
1.00 | 0.33
ours: att bli privatdetektiv | random: bli att privatdetektiv
1.00 | 0.00
ours: att hundsvansen viftar | random: hundsvansen viftar att
1.00 | 0.33
ours: att just jonas | random: just jonas att
1.00 | 0.33
ours: axlarna ner ponny | random: axlarna ner ponny
1.00 | 1.00
ours: bakom mormors stol | random: mormors stol bakom
