ours: NUMBER joel hej | random: NUMBER joel hej
0.00 | 0.00
ours: men NUMBER samra | random: NUMBER samra men
0.00 | 0.00
ours: dunkade musiken NUMBER | random: dunkade NUMBER musiken
0.00 | 0.33
ours: aldrig i livet | random: aldrig i livet
1.00 | 1.00
ours: aldrig med vuxna | random: vuxna med aldrig
1.00 | 0.00
ours: pappa sa aldrig | random: aldrig sa pappa
0.00 | 1.00
ours: alexander graham bell | random: graham alexander bell
1.00 | 0.00
ours: hon heter alice | random: heter hon alice
0.00 | 0.33
ours: alla ser det | random: ser det alla
1.00 | 0.33
ours: alla tre dog | random: tre dog alla
1.00 | 0.33
ours: alla utom love | random: alla utom love
1.00 | 1.00
ours: alla utom ludde | random: utom ludde alla
1.00 | 0.33
ours: alla utom pia | random: utom alla pia
1.00 | 0.00
ours: alldeles raka streck | random: raka alldeles streck
1.00 | 0.00
ours: allt blev fel | random: blev fel allt
1.00 | 0.33
ours: de kunde allt | random: de allt kunde
0.00 | 0.33
ours: allt var bra | random: bra var allt
1.00 | 0.00
ours: allt var klart | random: allt var klart
1.00 | 1.00
ours: allt var okej | random: var allt okej
1.00 | 0.00
ours: allt var stilla | random: allt stilla var
1.00 | 0.00
ours: allt var svart | random: var svart allt
1.00 | 0.33
ours: alltihop blev fel | random: fel alltihop blev
1.00 | 0.33
ours: han sa alltsammans | random: sa han alltsammans
0.00 | 0.33
ours: alva och jag | random: och alva jag
1.00 | 0.00
ours: alva och love | random: alva love och
1.00 | 0.00
ours: alva mamma ropar | random: mamma alva ropar
0.00 | 0.33
ours: alva svarar inte | random: alva inte svarar
1.00 | 0.00
ours: du menar ambulanser | random: menar du ambulanser
0.00 | 0.33
ours: andra lite senare | random: andra lite senare
1.00 | 1.00
ours: andra var arga | random: andra arga var
1.00 | 0.00
ours: annars skjuter vi | random: annars vi skjuter
1.00 | 0.00
ours: efter kom anne | random: anne efter kom
0.00 | 0.00
ours: tungt sov anne | random: anne sov tungt
0.00 | 1.00
ours: anne var bra | random: var bra anne
1.00 | 0.33
ours: socialdemokrat stark annelie | random: annelie socialdemokrat stark
0.00 | 0.00
ours: ansikte mot ansikte | random: mot ansikte ansikte
1.00 | 0.33
ours: jag sa antagligen | random: sa jag antagligen
0.00 | 0.33
ours: det hoppades anton | random: anton hoppades det
0.00 | 1.00
ours: anton lille anton | random: anton lille anton
1.00 | 1.00
ours: allvarligt nickade anton | random: anton nickade allvarligt
0.00 | 1.00
ours: bara nickade anton | random: anton nickade bara
0.00 | 1.00
ours: anton och frida | random: och frida anton
1.00 | 0.33
ours: anton reste sig | random: sig reste anton
1.00 | 0.00
ours: tankarna samlade anton | random: anton samlade tankarna
0.00 | 1.00
ours: anton stiger in | random: stiger in anton
1.00 | 0.33
ours: besviken var ara | random: ara besviken var
0.00 | 0.00
ours: utskott kallas arbetsgrupperna | random: kallas arbetsgrupperna utskott
0.00 | 0.00
ours: sedan NUMBER arbetslivsminister | random: sedan arbetslivsminister NUMBER
0.33 | 0.00
ours: arg och besviken | random: arg och besviken
1.00 | 1.00
ours: barcelona mot arsenal | random: mot barcelona arsenal
0.00 | 0.33
ours: mirran sa asch | random: asch sa mirran
0.00 | 1.00
